Country_Name,Debt_Per_Capita,Total_External_Debt,Percentage_of_GDP,Percentage_of_Total_Wealth,Year
United States of America,77707,34400000000000,122.65,18.51,2022
United Kingdom,141995,9650000000000,283.82,60.41,2022
Japan,34832,9200000000000,263,19.22,2022
Germany,74500,6100000000000,65.33,16.13,2023
France,110000,3400000000000,112.06,20.86,2023
Canada,66929,2900000000000,126.94,23.53,2023
Italy,42000,2600000000000,120,28.13,2023
China,1736,2450000000000,13.55,2.9,2023
Switzerland,262863,2300000000000,284.57,47.63,2023
Australia,72223,1900000000000,111.17,19.55,2023
Hong Kong,248153,1820000000000,504.1,19.68,2023
Spain,34920,1670000000000,111.84,32.2,2023
Belgium,55738,1530000000000,236.8,4.07,2023
Brazil,6925,1490000000000,71.59,44.11,2023
Sweden,95178,1030000000000,171.81,18.1,2023
Mexico,6707,880000000000,52.92,42.76,2023
Singapore,144061,815000000000,158.13,44.89,2023
Norway,134602,738000000000,133.14,6.72,2023
South Korea,12897,665000000000,38.62,20.41,2024
India,449.28,648000000000,18.9,52.1,2024
Netherlands,215569,532000000000,47.25,77.84,1998
Turkey,5514,478000000000,46.21,33.23,1998
Portugal,42785,440000000000,164.48,22.35,2001
Austria,44168,401000000000,77.76,12.13,2004
Indonesia,1417,395000000000,29.1,45.73,2004
Poland,9500,385000000000,49.3,24.18,2010
Greece,32880,350000000000,322.85,39.33,2010
Ireland,63414,303000000000,86.82,357.06,2010
Russia,1969,282000000000,13.67,6.43,2011
Thailand,4016,282000000000,49.09,19.85,2013
Argentina,5883,275000000000,42.91,65.48,2013
Saudi Arabia,7588,264000000000,23.83,11.64,2014
South Africa,4268,263000000000,65.81,28.4,2015
Malaysia,7785,260000000000,58.17,38.35,2016
Philippines,2300,260000000000,58.9,25.72,2014
Chile,11603,233000000000,65.09,29.91,2014
United Arab Emirates,24164,220000000000,59.69,17.71,2015
Finland,38756,215000000000,71.3,27.15,2016
New Zealand,39924,206000000000,81.76,14.45,2017
Czech Republic,19282,203000000000,61.47,26.36,2017
Mauritius,157951,199000000000,1368,292.65,2017
Qatar,70471,195000000000,106.09,47.91,2018
Taiwan,8275,193000000000,24.4,3.56,2020
Colombia,3596,188000000000,56.03,33.33,2021
Puerto Rico,48187,167000000000,161.93,,2021
Egypt,1557,165000000000,42.72,13.21,2021
Kazakhstan,8087,161000000000,65.71,22.36,2021
Romania,8414,158000000000,45.4,23.69,2021
Israel,16019,153000000000,29.28,11.18,2021
Hungary,15000,147000000000,160,32.1,2022
Vietnam,500,142000000000,39.1,13.96,2022
Pakistan,1122,131000000000,37.2,19.32,2022
Ukraine,2200,124000000000,81,18.26,2022
Denmark,81965,123000000000,119,6.58,2016
Slovakia,15900,121000000000,112,44.81,2010
Venezuela,3500,110000000000,23,,2010
Malta,223000,104000000000,691,179.31,2011
Bangladesh,460,98900000000,22,8.92,2011
Nigeria,60,96400000000,2,13.79,2013
Morocco,1400,91100000000,46,26.25,2013
Peru,2300,86300000000,44,16.63,2013
Sri Lanka,2200,83100000000,68,23.15,2013
Iraq,1800,68000000000,44,,2013
Sudan,1100,62400000000,121,283.64,2014
Slovenia,25000,60700000000,104,32.29,2014
Ecuador,2100,57500000000,57,22.55,2014
Uruguay,7600,57200000000,50,26.36,2015
Oman,4400,54000000000,35,28.57,2016
Croatia,10700,52900000000,74,23,2016
Panama,4400,46700000000,56.6,31.13,2016
Jordan,3400,44100000000,83,18.77,2016
Latvia,21200,43600000000,126,30.92,2016
Bahrain,14900,39400000000,66,33.97,2016
Serbia,37845,38600000000,56.5,20.75,2016
Tunisia,2200,37700000000,97,21.3,2016
Angola,1400,37700000000,41,68.55,2016
Belarus,4000,37600000000,66,14.75,2016
Lebanon,6000,34500000000,220,10,2016
Estonia,15700,34200000000,89,41.71,2016
Mongolia,7800,33800000000,245,225.33,2016
Uzbekistan,500,33300000000,24,,2016
Ivory Coast,420,29800000000,24,,2016
Kosovo,16775,29700000000,37,,2021
Ghana,700,29200000000,30,26.07,2016
Lithuania,12700,28500000000,74,19.39,2016
Cuba,2300,26300000000,34,,2016
Dominican Republic,2400,26100000000,36,,2016
Ethiopia,1296,25400000000,129.13,19.77,2016
Cyprus,97200,25400000000,849,23.3,2016
Costa Rica,5100,24900000000,43,11.8,2016
Luxembourg,114704,24200000000,22.1,8.09,2016
Cambodia,600,22400000000,57,35,2016
Papua New Guinea,2800,22000000000,111,51.16,2016
Iceland,72700,21800000000,81,16.9,2016
Paraguay,2400,21800000000,54,32.06,2016
Trinidad & Tobago,15700,21500000000,76,42.16,2016
Bulgaria,5700,21000000000,63,8.14,2016
Guatemala,1100,19100000000,28,,2016
Palau,846000,18400000000,62.1,,2016
Bahamas,44200,17600000000,194,100000,2016
Jamaica,6000,16800000000,122,37.33,2016
Monaco,434000,16500000000,240,,2016
Tanzania,280,15900000000,34,10.97,2016
Bolivia,600,15500000000,33,14.76,2016
El Salvador,2400,14900000000,56,,2016
Albania,3634,14000000000,66,18.18,2016
Myanmar,120,13900000000,17,4.91,2016
Nicaragua,1800,11100000000,83,16.09,2016
Georgia,3900,11100000000,128,24.13,2016
Zimbabwe,670,10900000000,77,15.35,2016
Laos,1700,10200000000,53,29.14,2016
Mozambique,320,10200000000,72,63.75,2016
Nepal,120,9130000000,16,10.14,2016
Zambia,540,8920000000,45,33.04,2016
Iran,90,8670000000,2,0.29,2016
Azerbaijan,1300,8140000000,22,5.18,2016
Honduras,1000,8040000000,38,,2016
North Macedonia,3700,7920000000,73,,2016
Cameroon,300,7380000000,24,16.04,2016
Yemen,260,7190000000,21,,2016
Armenia,2043,6660000000,102,14.17,2016
Tajikistan,260,6660000000,38,26.64,2016
Namibia,2500,6520000000,64,21.03,2016
Uganda,150,6240000000,24,12.73,2016
Senegal,390,6190000000,42,15.1,2016
Syria,300,5920000000,24,32.89,2016
Kyrgyzstan,1300,5740000000,112,22.96,2016
Moldova,1600,5650000000,70,8.69,2016
Democratic Republic of the Congo,70,5330000000,13,7.51,2016
Somalia,270,5300000000,52,,2022
Gabon,2900,5160000000,35,22.43,2016
Bosnia and Herzegovina,1300,5040000000,23,5.79,2015
North Korea,200,5000000000,18,,2015
Republic of the Congo,1000,4820000000,55,80.33,2023
Barbados,15700,4490000000,100,28.06,2023
Montenegro,6742,4390000000,151,12.19,2018
Madagascar,160,4010000000,41,13.37,2020
Algeria,3.12,3700000000,2,27.88,2021
Mali,200,3630000000,26,16.5,2021
Mauritania,840,3590000000,76,59.83,2022
Libya,550,3530000000,9,8.02,2022
Botswana,720,3500000000,8,12.96,2022
Burkina Faso,160,3090000000,26,19.31,2022
Niger,130,2730000000,36,21,2022
Seychelles,26200,2550000000,180,63.75,2022
Rwanda,200,2440000000,29,8.71,2022
Bermuda (UK),39700,2440000000,47,,2023
Benin,200,2340000000,26,15.6,2024
Bhutan,2900,2260000000,108,,2023
Haiti,180,2020000000,24,40.4,2023
Malawi,100,1920000000,39,8.73,2023
South Sudan,167,1920000000,62.7,,2023
Chad,130,1880000000,18,18.8,2023
Cape Verde,3100,1660000000,99,,2023
Sierra Leone,230,1560000000,36,39,2023
Palestine,340,1540000000,35,,2023
Equatorial Guinea,1500,1360000000,12,6.8,2023
Djibouti,1500,1340000000,71,67,2023
Guinea,100,1330000000,20,7.39,2023
Belize,3500,1330000000,75,44.33,2023
Afghanistan,40,1280000000,7,3.12,2023
Suriname,2200,1240000000,30,62,2023
Togo,150,1170000000,26,19.5,2023
Guyana,1500,1140000000,36,19,2023
Andorra,14345,1110000000,41,,2023
Liberia,230,1110000000,51,7.93,2023
Guinea-Bissau,570,1100000000,94,55,2023
Lesotho,430,949000000,53,47.45,2023
Faroe Islands (Denmark),18400,889000000,38,,2023
Fiji,900,833000000,18,6.94,2023
Eritrea,150,820000000,15,16.4,2023
Maldives,2000,742000000,23,7.42,2023
Burundi,60,705000000,26,17.63,2023
Aruba,6600,693000000,28,,2023
Central African Republic,130,687000000,39,34.35,2023
Kuwait,140,685000000,0.42,0.12,2023
Grenada,6300,679000000,66,,2023
Gambia,260,542000000,61,18.07,2023
Saint Lucia,2700,513000000,36,,2023
Turkmenistan,90,503000000,1,0.64,2023
Solomon Islands,800,492000000,40,,2023
Eswatini,360,471000000,14,,2019
Samoa,2300,447000000,51,,2023
Antigua and Barbuda,4700,441000000,34,,2023
San Marino,10604,352000000,23,,2023
Brunei,27200,340000000,2.8,2.83,2023
Saint Vincent and the Grenadines,2900,321000000,42,,2023
Timor-Leste,250,312000000,12,7.8,2023
Dominica,3900,289000000,55,,2023
Cook Islands,13400,281000000,23,,2023
Sao Tome and Principe,1200,237000000,67,,2023
Tonga,2200,233000000,54,,2023
Vanuatu,750,208000000,27,,2023
Saint Kitts and Nevis,3300,188000000,20,,2023
Comoros,160,133000000,21,6.65,2023
New Caledonia (France),420,112000000,1,,2023
Marshall Islands,1800,98000000,52,,2023
Micronesia,900,93600000,29,,2023
Cayman Islands (UK),2100,79000000,7,,2023
Kenya,370,69900000,26,0.02,2023
Greenland (Denmark),650,36400000,2,,2023
Nauru,3200,33300000,22,,2023
British Virgin Islands (UK),570,17700000,2,,2023
Tuvalu,1224,14800000,37,,2023
Kiribati,120,13600000,8,,2023
Anguilla (UK),590,8800000,5,,2023
Wallis and Futuna (France),280,3670000,6,,2023
Montserrat (UK),200,1040000,2,,2022
Niue (New Zealand),1300,1300,13000,,2022
Liechtenstein,0,0,0,,2022